Original Category,Mapped Category
Office Furniture Businesses,Retail Businesses
Other Food and Grocery Stores,Retail Businesses
Other Retailing,Retail Businesses
Party Rental and Supply Stores,Retail Businesses
Party Stores,Retail Businesses
Pet Shops,Retail Businesses
Pet Shops and Supplies,Retail Businesses
Pet Stores and Supply Businesses,Retail Businesses
Pharmacies,Retail Businesses
"Pharmacies, Drug Stores, Chemists",Retail Businesses
Retail Businesses,Retail Businesses
Retail Shops To Lease,Retail Businesses
Shoe Stores,Retail Businesses
Smoke Shops,Retail Businesses
Soft Furnishing Businesses,Retail Businesses
Specialist Food Retailers,Retail Businesses
Sporting Goods Stores,Retail Businesses
Sporting Goods and Shooting Range Businesses,Retail Businesses
Sports Shops,Retail Businesses
Stationery And Office Supply Businesses,Retail Businesses
Stationery and Office Supplies,Retail Businesses
Supermarkets,Retail Businesses
"Tobacco Shops, Cigar Stores",Retail Businesses
Tobacconists,Retail Businesses
Toy Shops,Retail Businesses
Toy Stores,Retail Businesses
Truck Stops,Retail Businesses
Video Game Stores,Retail Businesses
Wedding Clothing Businesses,Retail Businesses
Self Storage,Self Storage Warehouses
Self Storage Warehouses,Self Storage Warehouses
Storage Warehouse Businesses,Self Storage Warehouses
General Services Businesses,Service Businesses
Service Businesses,Service Businesses
Services Businesses,Service Businesses
Pool Service and Maintenance,Swimming Pool Businesses
Pool Service and Maintenance,Swimming Pool Businesses
Swimming Pool Businesses,Swimming Pool Businesses
Communication and Media Businesses,Technology And Media Businesses
Media Businesses,Technology And Media Businesses
Media Businesses,Technology And Media Businesses
Technology And Media Businesses,Technology And Media Businesses
Tv And Radio Businesses,Technology And Media Businesses
Tv Audio Video And Photographic Businesses,Technology And Media Businesses
Air Transport Businesses,Transportation Businesses
Bus Companies,Transportation Businesses
Chauffeur Businesses,Transportation Businesses
"Couriers, Messengers, Despatch Riders",Transportation Businesses
FedEx Routes,Transportation Businesses
Limo and Passenger Transportation Businesses,Transportation Businesses
Logistics Companies,Transportation Businesses
Long Haul Trucking,Transportation Businesses
Medical Transportation Businesses,Transportation Businesses
Moving Companies,Transportation Businesses
Moving and Shipping Businesses,Transportation Businesses
Other Transportation,Transportation Businesses
Other Trucking,Transportation Businesses
Pack and Ship Services,Transportation Businesses
Postal And Communication Businesses,Transportation Businesses
Removal Businesses,Transportation Businesses
Road Haulage And Freight Businesses,Transportation Businesses
Routes,Transportation Businesses
Logistics Companies,Transportation Businesses
Long Haul Trucking,Transportation Businesses
Medical Transportation Businesses,Transportation Businesses
Moving Companies,Transportation Businesses
Moving and Shipping Businesses,Transportation Businesses
Other Transportation,Transportation Businesses
Other Trucking,Transportation Businesses
Pack and Ship Services,Transportation Businesses
Postal And Communication Businesses,Transportation Businesses
Removal Businesses,Transportation Businesses
Road Haulage And Freight Businesses,Transportation Businesses
Routes,Transportation Businesses
Short Haul Trucking,Transportation Businesses
Taxi Businesses,Transportation Businesses
"Taxi, Limousine, Car Hire, Chauffeur Services",Transportation Businesses
Transportation Businesses,Transportation Businesses
Transportation and Storage Businesses,Transportation Businesses
Trucking Companies,Transportation Businesses
"Trucking Companies, Road Haulage",Transportation Businesses
Travel Businesses,Travel Businesses
Food Vending Businesses,Vending
Vending,Vending
Vending Routes,Vending
Junk and Salvage Yards,Waste Management and Recycling Businesses
Recycling Businesses,Waste Management and Recycling Businesses
Recycling Businesses,Waste Management and Recycling Businesses
Waste Management and Recycling Businesses,Waste Management and Recycling Businesses
Waste Management and Remediation Services,Waste Management and Recycling Businesses
Distribution Businesses,Wholesale and Distribution Businesses
Food Trucks,Wholesale and Distribution Businesses
Import And Export Businesses,Wholesale and Distribution Businesses
Importers and Exporters,Wholesale and Distribution Businesses
Industrial Businesses,Wholesale and Distribution Businesses
Industrial Supplies,Wholesale and Distribution Businesses
Industrial Warehouses Distribution Businesses,Wholesale and Distribution Businesses
Medical Equipment,Wholesale and Distribution Businesses
Medical Products Distributors,Wholesale and Distribution Businesses
Medical Supply Businesses,Wholesale and Distribution Businesses
Other Wholesale Trade,Wholesale and Distribution Businesses
Medical Equipment,Wholesale and Distribution Businesses
Medical Products Distributors,Wholesale and Distribution Businesses
Medical Supply Businesses,Wholesale and Distribution Businesses
Other Wholesale Trade,Wholesale and Distribution Businesses
Wholesale And Distribution Businesses,Wholesale and Distribution Businesses
Wholesale Businesses,Wholesale and Distribution Businesses
Wholesale and Distribution Businesses,Wholesale and Distribution Businesses
Wholesalers and Distributors,Wholesale and Distribution Businesses
