Original Category,Mapped Category
Parking Lot Maintenance,Building Services Businesses
Business Brokerages,Business Services
Business Services,Business Services
"Call Centers, Answering Services, Telemarketing",Business Services
"Employment, Staffing, Recruitment, Temporary Help",Business Services
Equipment Rental and Dealers,Business Services
Equipment Rental and Maintenance,Business Services
Hire Businesses,Business Services
Medical Staffing,Business Services
Other Business Services,Business Services
Printing And Typesetting Businesses,Business Services
Printing and Duplicating Services,Business Services
Recruitment Agencies,Business Services
Sales Businesses,Business Services
Screen Printing Businesses,Business Services
Medical Staffing,Business Services
Other Business Services,Business Services
Printing And Typesetting Businesses,Business Services
Printing and Duplicating Services,Business Services
Recruitment Agencies,Business Services
Sales Businesses,Business Services
Screen Printing Businesses,Business Services
Security Businesses,Business Services
Security and Fire Alarm Services,Business Services
Staffing Agencies,Business Services
Tool And Equipment Hire Businesses,Business Services
Toolmakers And Precision Businesses,Business Services
Cannabis Businesses,Cannabis Businesses
Cannabis Stores,Cannabis Businesses
Car Wash And Valet Businesses,Car Wash
Car Washes,Car Wash
Cleaning,Cleaning
Cleaning Services,Cleaning
Commercial Cleaning Businesses,Cleaning
Domestic Cleaning Businesses,Cleaning
Industrial Cleaning Businesses,Cleaning
Janitorial and Cleaning Services,Cleaning
Building Material and Hardware Stores,Construction Businesses
Building and Construction Businesses,Construction Businesses
Carpenters And Joiners,Construction Businesses
Carpentry and Joinery,Construction Businesses
Concrete Businesses,Construction Businesses
Concrete and Cement Contractors,Construction Businesses
Construction,Construction Businesses
Construction Businesses,Construction Businesses
Construction Professional Firms,Construction Businesses
Electrical Contractors,Construction Businesses
Electrical Services Businesses,Construction Businesses
Electrical and Mechanical Contracting Businesses,Construction Businesses
Electricians And Electrical Repair Businesses,Construction Businesses
Excavating Contractors,Construction Businesses
"General Contractors, Builders, Housebuilders",Construction Businesses
"Glass Contractors, Glaziers",Construction Businesses
Glaziers,Construction Businesses
Heavy Construction,Construction Businesses
Heavy Construction Businesses,Construction Businesses
Housebuilding Businesses,Construction Businesses
Main Contractors,Construction Businesses
Masonry Contractors,Construction Businesses
Other Construction,Construction Businesses
Painting Businesses,Construction Businesses
Painting Contractors,Construction Businesses
Paving Contractors,Construction Businesses
Roofing Businesses,Construction Businesses
Roofing Contractors,Construction Businesses
Roofing Service Businesses,Construction Businesses
Main Contractors,Construction Businesses
Masonry Contractors,Construction Businesses
Other Construction,Construction Businesses
Painting Businesses,Construction Businesses
Painting Contractors,Construction Businesses
Paving Contractors,Construction Businesses
Roofing Businesses,Construction Businesses
Roofing Contractors,Construction Businesses
Roofing Service Businesses,Construction Businesses
Specialist Subcontractors,Construction Businesses
Trade Contractors,Construction Businesses
Construction Supply Businesses,Construction Supply Businesses
Amazon Stores (FBA & FBM),Ecommerce
Domain Name Businesses,Ecommerce
E Commerce Businesses,Ecommerce
E-Commerce,Ecommerce
Ecommerce,Ecommerce
Internet Businesses,Ecommerce
Internet and Online Businesses,Ecommerce
Mail Order Businesses,Ecommerce
Online and Technology Businesses,Ecommerce
Other Internet and Online Businesses,Ecommerce
Mail Order Businesses,Ecommerce
Online and Technology Businesses,Ecommerce
Other Internet and Online Businesses,Ecommerce
Websites,Ecommerce
Computer Training Businesses,Education Businesses
Corporate Training Businesses,Education Businesses
Driving Schools,Education Businesses
E-Learning,Education Businesses
Education,Education Businesses
Education Businesses,Education Businesses
Education and Child Related Businesses,Education Businesses
Elementary and Secondary Schools,Education Businesses
Employee Training and Motivation,Education Businesses
Schools,Education Businesses
Schools,Education Businesses
Tutoring Services,Education Businesses
Vocational Schools,Education Businesses
Electric Utilities,"Electric, Water, Gas and Sewer Services"
