Original Category,Mapped Category
"Dance, Pilates and Yoga Studios",Personal Services
Day Care and Child Care Centers,Personal Services
Decorating Businesses,Home And Garden Businesses
Delicatessens,Restaurants
Delis and Sandwich Shops,Restaurants
Dental Laboratories,Health Care Businesses
Dental Practices,Health Care Businesses
"Dental Practices, Clinics",Health Care Businesses
Design Agencies,Advertising and Marketing Services
Diners,Restaurants
Distilleries,Food and Related Product Manufacturers
Distribution Businesses,Wholesale and Distribution Businesses
Diy Related Businesses,Home And Garden Businesses
Dog Daycare and Boarding Businesses,Pet Service Businesses
Dollar Stores,Retail Businesses
Domain Name Businesses,E-Commerce
Domestic Cleaning Businesses,Cleaning Services
Driving Schools,Education Businesses
Drug Stores And Pharmacies,Retail Businesses
Dry Cleaners,Laundromats and Coin Laundry Businesses
"Dry Cleaning, Laundry Services, Laundromats",Laundromats and Coin Laundry Businesses
E Commerce Businesses,E-Commerce
E-Commerce,E-Commerce
E-Learning,Education Businesses
Ecommerce,E-Commerce
Education,Education Businesses
Education Businesses,Education Businesses
Education and Child Related Businesses,Education Businesses
Electric Utilities,"Electric, Water, Gas and Sewer Services"
"Electric, Water, Gas and Sewer Services","Electric, Water, Gas and Sewer Services"
Electrical Appliance Manufacturers,Manufacturing Businesses
Electrical Appliance Retailers,Retail Businesses
Electrical Contractors,Construction Businesses
"Electrical Equipment, Appliances and Components",Manufacturing Businesses
Electrical Services Businesses,Construction Businesses
Electrical and Mechanical Contracting Businesses,Construction Businesses
Electricians And Electrical Repair Businesses,Construction Businesses
Electronic and Electrical Equipment Manufacturers,Manufacturing Businesses
Electronics and Appliance Stores,Retail Businesses
Elementary and Secondary Schools,Education Businesses
Embroidery Services,Personal Services
Employee Training and Motivation,Education Businesses
"Employment, Staffing, Recruitment, Temporary Help",Business Services
Energy Related Businesses,Manufacturing Businesses
Energy and Petroleum Production Businesses,Manufacturing Businesses
Engineering Businesses,Professional Service Businesses
Engineering Consultancies,Professional Service Businesses
Engineering Manufacturing Businesses,Professional Service Businesses
Engineering and Surveying,Professional Service Businesses
Entertainment Agencies,"Arts, Entertainment and Recreation"
Entertainment And Fun Businesses,"Arts, Entertainment and Recreation"
Entertainment and Recreation Businesses,"Arts, Entertainment and Recreation"
Environmental Related Businesses,Environmental Related Businesses
Equipment Rental and Dealers,Business Services
Equipment Rental and Maintenance,Business Services
European Restaurants,Restaurants
Event Planners,Event Planning Businesses
Event Planning Businesses,Event Planning Businesses
Events Businesses,Event Planning Businesses
Excavating Contractors,Construction Businesses
Fabrication Businesses,Manufacturing Businesses
Facilities Management Businesses,Building Services Businesses
Farms,Agriculture Businesses
Fast Food Restaurants,Restaurants
FedEx Routes,Transportation Businesses
Fencing Businesses,Landscaping
Finance Companies,Finance and Insurance
Finance and Insurance,Finance and Insurance
Financial Businesses,Finance and Insurance
Financial Related Businesses,Finance and Insurance
Financial Services Businesses,Finance and Insurance
Fine Dining Restaurants,Restaurants
Fireplace And Stove Businesses,"Heating, Ventilating, Cooling, Mechanical Contractors"
Fishing And Related Businesses,Fishing And Related Businesses
"Fishing, Hunting and Trapping",Fishing And Related Businesses
Fitout Businesses,Building Services Businesses
Flight Schools,Aviation Services
Flooring Contractors,Home And Garden Businesses
Flooring Service Businesses,Home And Garden Businesses
Flooring and Tile Stores,Home And Garden Businesses
Florists,Retail Businesses
Florists and Flower Shops,Retail Businesses
Food And Drink Distributors,Food Distributors
Food And Drink Wholesalers,Food Distributors
Food Businesses,Food Distributors
Food Distributors,Food Distributors
Food Manufacturers,Food and Related Product Manufacturers
Food Resale Franchises,Franchise Resales
Food Trucks,Wholesale and Distribution Businesses
Food Vending Businesses,Vending
Food and Related Product Manufacturers,Food and Related Product Manufacturers
Framing Businesses,Retail Businesses
Franchise Resales,Franchise Resales
Fuel Oil and Propane Dealers,Manufacturing Businesses
Funeral Businesses,Personal Services
Funeral Homes,Personal Services
Furniture Businesses,Retail Businesses
Furniture Manufacturers,Manufacturing Businesses
Furniture Manufacturing Businesses,Manufacturing Businesses
Furniture Stores,Retail Businesses
Furniture and Fixtures Manufacturers,Manufacturing Businesses
Furniture and Furnishings Stores,Retail Businesses
Furniture and Related Products,Retail Businesses
Garden Centers,Home And Garden Businesses
Garden Centres,Home And Garden Businesses
Gardening Businesses,Landscaping
Gas Petrol Service Stations,Retail Businesses
Gas Stations,Retail Businesses
"Gas Stations, Truck Stops, Petrol Stations",Retail Businesses
"General Contractors, Builders, Housebuilders",Construction Businesses
General Retail Businesses,Retail Businesses
General Services Businesses,Service Businesses
"Glass Contractors, Glaziers",Construction Businesses
Glass Products Manufacturers,Manufacturing Businesses
Glass Repair,Manufacturing Businesses
"Glass, Stone and Concrete Manufacturers",Manufacturing Businesses
Glaziers,Construction Businesses
Golf And Related Businesses,"Arts, Entertainment and Recreation"
Golf Courses and Service Businesses,"Arts, Entertainment and Recreation"
Graphic Design,Advertising and Marketing Services
Greek Restaurant,Restaurants
Greek Restaurants,Restaurants
Greenhouses,Agriculture Businesses
Greenhouses and Nurseries,Agriculture Businesses
Grocers Fruit And Veg Markets,Retail Businesses
"Grocers, Fruit & Vegetable Stores",Retail Businesses
Grocery Stores and Supermarkets,Retail Businesses
Guest Houses And Bed And Breakfast Businesses,Hotels
Gyms and Fitness Centers,Personal Services
HVAC,"Heating, Ventilating, Cooling, Mechanical Contractors"
Hair And Beauty Salons,Beauty and Personal Care Businesses
Hair Salons and Barber Shops,Beauty and Personal Care Businesses
Hardware Stores,Building Material and Hardware Stores
Health And Beauty Businesses,Beauty and Personal Care Businesses
Health And Beauty Supply Businesses,Retail Businesses
Health And Fitness Clubs,Personal Services
Health And Safety Businesses,Health Care Businesses
Health Care,Health Care Businesses
Health Care Businesses,Health Care Businesses
Health Care and Fitness Businesses,Health Care Businesses
"Health Clubs, Fitness Centres, Spas",Personal Services
Health Food Shops,Retail Businesses
Health Food and Nutrition Businesses,Retail Businesses
Health and Beauty Products,Retail Businesses
Heating Businesses,"Heating, Ventilating, Cooling, Mechanical Contractors"
"Heating, Ventilating, Cooling, Mechanical Contractors","Heating, Ventilating, Cooling, Mechanical Contractors"
Heavy Construction,Construction Businesses
Heavy Construction Businesses,Construction Businesses
Heavy Machinery Businesses,Repair Services
Hire Businesses,Business Services
Hobby and Crafts Stores,Retail Businesses
Holiday Businesses,"Arts, Entertainment and Recreation"
Home Accessories Businesses,Retail Businesses
Home And Garden Businesses,Home And Garden Businesses
Home Furnishings,Retail Businesses
Home Health Care Businesses,Health Care Businesses
Home Health Care Services,Health Care Businesses
Home Inspection Services,Real Estate
Hookah Bars,"Bars, Taverns, Pubs, Lounges"
Hotels,Hotels
House And Garden Businesses,Home And Garden Businesses
House And Garden Products Manufacturing Businesses,Home And Garden Businesses
Housebuilding Businesses,Construction Businesses
IT and Software Service Businesses,Information Technology Businesses
Ice Cream and Frozen Yogurt Shops,Restaurants
"Ice Cream, Yogurt, and Smoothie Shops",Restaurants
Import And Export Businesses,Wholesale and Distribution Businesses
Importers and Exporters,Wholesale and Distribution Businesses
Indian Restaurants,Restaurants
Industrial Businesses,Wholesale and Distribution Businesses
Industrial Cleaning Businesses,Cleaning Services
Industrial Supplies,Wholesale and Distribution Businesses
Industrial Warehouses Distribution Businesses,Wholesale and Distribution Businesses
Industrial and Commercial Machinery Manufacturers,Manufacturing Businesses
Information Technology Businesses,Information Technology Businesses
Insurance Agencies,Finance and Insurance
"Insurance Agencies, Brokers",Finance and Insurance
Insurance Related Businesses,Finance and Insurance
Interior Design Businesses,"Architecture, Interior Design, Landscape Design"
Internet Businesses,E-Commerce
Internet and Online Businesses,E-Commerce
Investment Opportunities,Real Estate
It Businesses,Information Technology Businesses
It Consultancy Businesses,Information Technology Businesses
It Maintenance Businesses,Information Technology Businesses
It Manufacturing Businesses,Information Technology Businesses
It Network Businesses,Information Technology Businesses
It Retail Businesses,Information Technology Businesses
It Software Businesses,Information Technology Businesses
It Telecommunications Businesses,Information Technology Businesses
Italian Restaurants,Restaurants
Janitorial and Cleaning Services,Cleaning Services
Jewellers,Retail Businesses
Jewelry Stores,Retail Businesses
Juice Bars,Restaurants
Junk and Salvage Yards,Waste Management and Recycling Businesses
Kitchen And Bedroom Manufacturers,Home And Garden Businesses
Kitchen Related Businesses,Home And Garden Businesses
Ladies Wear Shops,Retail Businesses
Land,Real Estate
Landscape Gardening Businesses,Landscaping
Landscaping,Landscaping
Landscaping Contractors,Landscaping
"Landscaping, Lawn Care and Tree Services",Landscaping
Laundries,Laundromats and Coin Laundry Businesses
Laundromats and Coin Laundry Businesses,Laundromats and Coin Laundry Businesses
"Law Firms, Barristers, Solicitors, Legal Services",Professional Service Businesses
Lawyers Legal Firms,Professional Service Businesses
Leisure Businesses,"Arts, Entertainment and Recreation"
Leisure Resale Franchises,Franchise Resales
Limo and Passenger Transportation Businesses,Transportation Businesses
Liquor Stores,Retail Businesses
Liquor Stores And Off Licences,Retail Businesses
"Liquor Stores, Off-Licences, Wine Shops",Retail Businesses
Locksmiths,Personal Services
Logistics Companies,Transportation Businesses
Long Haul Trucking,Transportation Businesses
Lumber and Building Products,Building Material and Hardware Stores
Lumber and Wood Products Manufacturers,Manufacturing Businesses
Machine Shop,Manufacturing Businesses
Machine Shops and Tool Manufacturers,Manufacturing Businesses
Machinery & Equipment,Repair Services
Machinery And Metal Businesses,Manufacturing Businesses
Machinery Repair And Maintenance Businesses,Repair Services
"Machinery, Excluding Computers",Manufacturing Businesses
Magazine Publishing,Publishing Businesses
Magazines and Newspapers,Publishing Businesses
Mail Order Businesses,E-Commerce
Main Contractors,Construction Businesses
Maintenance Businesses,Building Services Businesses
Management Consultancies,Professional Service Businesses
"Management Consulting, Consultancies",Professional Service Businesses
Management Rights Opportunities,Real Estate
Manufacturing,Manufacturing Businesses
Manufacturing Businesses,Manufacturing Businesses
Marinas,Aquatic And Marine Businesses
Marinas and Fishing Businesses,Aquatic And Marine Businesses
Marketing Businesses,Advertising and Marketing Services
Marketing and Advertising Businesses,Advertising and Marketing Services
Masonry Contractors,Construction Businesses
Massage Businesses,Personal Services
Meat Distributors,Food and Related Product Manufacturers
Mechanical Services Businesses,"Heating, Ventilating, Cooling, Mechanical Contractors"
Media Businesses,Technology And Media Businesses
Medical Billing Businesses,Health Care Businesses
Medical Device and Product Manufacturers,Manufacturing Businesses
